3-d;"3-D"
open files;""
open folder;""
open in new window;""
open in terminal;""
open location;""
open parent;""
open source;"ayɛ fo"
open tab;""
open terminal;""
open windows menu;""
open with;""
open;"bue"
opened;"bueɛ"
opengl;""
opening;"rebue"
operand;""
operate;"yɛ adwuma"
operating system;"Operatin systɛm"
operating;"reyɛ adwuma"
operation (math);""
operation cancelled;""
operation;"dwumadie"
operator;"Odwumayɛfoɔ"
opposite;"abirabɔ"
optimal wrap;""
optimal;"kɔ nkan"
optimize;"nkankorɔ"
optimized;"kɔ nkan"
option;"ɔphyɛn"
optional;"ɔpɛ"
options;""
or;""
orange;"Ɔrenge"
orca screen reader;""
order;"nhyehyɛkwanso"
ordinal number;""
organization;""
organize;"boa ano"
organized;"boaa ano"
organizer;"organaesa"
orientation;"danebea"
origin;"ahyaseɛ"
original;"Papa"
orphan;""
orthflow;""
out of memory;"mɛmri asa"
out of range;"atenka akyi"
out;"abɔnten"
outbox;"Deɛapue adaka"
outdated;""
outer join;""
outer;""
outgoing server;"Deɛrepue sɛɛva"
outgoing;"adifre"
outline (font effect);""
outline numbering;""
outline;"bubea"
output;"muaeɛ"
outward;""
oval;"kurukuruwaa"
overflow;""
overhang;""
overhead sheet;""
overlap;""
override;"faso"
overview;"Tɔfa"
overwhelming;""
overwrite;"Twerɛ faso"
owner;"ɔhwɛfoɔ"
pack;""
package manager;""
package;"mbɔho"
packet;"deta kumaa"
padding;"Padden"
page break preview;""
page break;"Krataa nkyemu"
page composer;""
page count;"nkrataa dodoɔ"
page down;"famu krataafa"
page info;""
page layout;"krataa mbaemu"
page number;"Krataa bi aba"
page orientation;"krataa bi tebea"
page preview;"krataa bi mfoni"
page setup;"krataafa sɛtɔp"
page size;""
page source;""
page style;""
page up;"Krataa bi anim"
page;"krataafa"
pager;"paaga"
pages per sheet;""
paginate;"Pagenaate"
paint can;""
paint;"Di adwini"
paintbrush;"pentbraashe"
pair;"Nta"
palette entry;""
palette;"palɛte"
palmos devices;""
pane;"Paane"
panel menu;""
panel;"panɛl"
panelize;""
paper size;"krataa kɛseɛ"
paper;"krataa"
paragraph break;"paragrafo gyinaeɛ"
paragraph spacing​;"paragrafo kwan"
paragraph style;""
paragraph;"paragrafo"
parallel;""
parameter;"paramita"
parcel;""
parent;"Ɔwofoɔ"
parentheses;"Parɛntɛses"
parity;""
parse;"paase"
parser;"paasa"
parsing;"guso paase"
partial;"afa afa"
participant;"ɔdeyɛfoɔ"
partition;"Nkyekyɛmu"
pass count;""
pass;""
passage;""
passphrase;""
password quality meter;""
password required;""
password;"ehintasɛmfua"
paste special;"Fatare soronko"
paste the clipboard;""
paste;"tare"
patch (noun);""
patch (verb);""
patch;""
path;"kwan"
pathname;"kwan bi din"
pathnames;""
pattern;"nhwɛsoɔ"
pause;"tweɔn"
paused;""
pdf / portable document format;"PDF"
pdf;""
peak indicator;""
peak;"mpɔnpɔnsoɔ"
pearson correlation;""
peer;"peɛ"
pend;""
pending signals;""
pending;"Guso retwɛn"
people;""
per;"Koro"
percent;"Ɔha mu nkyɛmu"
percentage;""
perform;"di dwuma"
performance;"dwumadie"
performed;"dii dwuma"
performing;"redi dwuma"
period;""
periodic;""
peripheral;"Ntetare ho"
perl script;""
perl;""
permanent;"afebɔɔ"
permanently;"afebɔɔ"
permission;"akwanya"
permissions;""
permit;"akwanya"
permitted;"akwanya"
permutation;""
personal address book;""
personal file sharing;""
personal information;""
personal profile;"Ankoroankorɛ Nsɛm"
personal toolbar folder;""
personal;"Ankoroankorɛ"
personalization;""
personalize;"Yɛ ankorankorɛ"
perspective;""
phishing;"fihyin"
phone list;""
phone;"ahomatrofoɔ"
phonetic;"fonɛtic"
photo;"mfoni"
photosensitivity;""
phrase;"fres"
physical memory;""
physical;"honamu"
pick a color;""
pick;"yi"
picker button;""
picker settings;""
picker;"oyiyifoɔ"
picture box;""
picture;"mfoni"
pid;""
pie;""
piece;"Ketewa"
pilot device;""
ping;"pine"
pink;"pinke"
pipe;""
pirate;""
pitch;""
pix map;""
pixbuf;""
pixel;"pisɛl"
pixels above lines;""
pixels below lines;""
pixels inside wrap;""
pixmap;""
place;"bea"
placeholder;""
placement;"Baabi pɔtee"
places;""
plain text;"Ntwerɛe saa"
plain;"Kɛkɛ"
plane;"Tɛtrɛɛ"
platform;"gyinasode"
play (cd);""
play a sound;"bɔ aso-te"
play sound;""
play;"bɔ"
playback;"Bɔkɔ akyire"
player;"apaawa"
playing;"Ɛrebɔ"
playlist;"Nea ɛrebɔ"
please enter your user name;""
please wait;""
please;"Me srɛ wo"
plot (verb);""
plot;"Tim so"
plotter;""
plug and play;"Fa tua na bɔ"
plug in;""
plug-in;""
plugin;""
plus sign;"Nkekabom ahyɛnsode"
point to;""
point;"kyerɛ"
pointer;"Akyerɛdua"
points;""
poisson distribution;""
poker;""
policy;"Mbra"
polish;""
polygon;""
polyline;""
pool;""
pooled variance;""
pop art;""
pop up;""
pop-up menu;"Pue so mɛnu"
pop-up;""
popular;"Tseetsee"
popup menu;""
popup window;""
port;"tokuro"
portable;"tumi kura"
portal;""
portion;"Ɛho"
portrait orientation;"pɔtrate ɔrientahyin"
portrait paper;""
portrait;"mfoni"
position and size;""
position;"bea"
positioned;"bea"
positive;"baako rekɔ"
possible;""
post a reply;""
post new message to folder;""
post office;""
post processor;""
post;"fa to"
postal box;""
postal code;"Postal kodo"
poster;"Ɔtwerɛfoɔ"
posterize;""
posting;"ɔretwerɛ"
postmaster;"Ɔtwerɛfoɔ"
postscript;""
posture;""
power management;""
power manager;""
power;"anyinam"
ppp;""
preceding;"edikan"
predefined;"asekyerɛ"
prediction;""
prefer;""
preference;"pɛ"
preferences;""
preferred applications;""
preferred height;""
preferred width;""
preferred;"ɔpɛ"
prefix;"prefise"
preformat;""
preformatted text;"tɛste a waprefɔɔmate"
prepare;""
prerequisite;""
presentation wizard;""
presentation;"yɛkyerɛ"
preset;"presɛɛte"
presiding;""
press;"mia"
pressed in;""
pressed;"miae"
pressure;"gidigidi"
prevent;"si kwan"
preview;"Hwɛ kane"
previous document;""
previous tab;""
previous;"dadaa"
price;"ɛboɔ"
primary colors;""
primary key;""
primary;"kanee"
principal;""
print area;""
print document;""
print job;"printe dwumadie"
print layout;"printe layouto"
print optimized;""
print page view;""
print preview;"prente priviw"
print range;"printe range"
print ranges;""
print;"prente"
printable;"Tumi tim"
printed;"watintim"
printer settings;""
printer-friendly;"Tumi tim"
printer;"print-fidie"
printing;"retintim"
printout;"printe pue"
priority;"adehia"
privacy;"siesɛm"
private key;""
private messages;""
private;"praevet"
priviledge;""
privilege;"Akwanya"
privileges;""
probe;""
problem;"haw"
procedure;"Kwan pɔtee"
proceed;"Toa so"
process id;""
process;"programba"
processing;"Bu nkonta"
processor;"prosɛsa"
prodigy;""
product;"Ade a ɔtɔn"
profession;""
profile manager;"profael hwɛsofo"
profile;"ho-nsɛm"
profiles;""
program manager;"program sohwɛni"
program;"program"
programmer;"program-kyerɛwni"
programming;""
progress bar;"Mpuntu akyerɛde"
progress;"nkɔso"
project management;""
project;"dwumadi"
projection;"Animkyerɛ"
projector;"Animkyerɛfidie"
promote;"Pagya"
prompt;"Mbisae"
propagation;""
properties;""
property;"bɔbea"
proportional font;""
proportional;"Wosusu"
proposal;""
proprietary;"akwansi"
protect cell;""
protect document;""
protect;"Hwɛ so"
protected workbooks;""
protected;"Wɔabɔ ho ban"
protection;"Ban bɔ"
protector;""
protocol error;""
protocol;"protokɔl"
provide;""
provider;"Adwumakuw"
provision;""
proxy configuration;""
proxy server;""
proxy settings;"prɔgsi nhyehyɛe"
proxy;"prɔksi"
public domain software;"amansan sɔftwɛɛr"
public ftp;""
public key;""
public-key;""
public;"Amansan"
publish calender information;""
publish;"Yi adi"
publisher;"Ɔtwerɛfoɔ"
pull;""
punctuation;"Nsanhɔ"
purchase;"Tɔ"
purchasing form;""
purge;""
purple;"pɛple"
push;"Pia"
put;""
quadratic;""
qualified;""
quality;"kwaliti"
quantity;"Dodoɔ"
quarantine;"ate neho"
quarter;"Fa a  wapaemu"
quartile;""
queen;""
query;"Asɛmusa"
question;"asɛmbisa"
queue;"sa-so"
queued;"Saaso"
quick launch bar;""
quick launcher;""
quick reference;""
quick;"ntɛm"
quit;"gyae"
quitting;"Ɛregyae"
quota;"Dodoɔ bi"
quotation mark;"Kotahyin nsanhɔ"
quotation;"Asɛnka"
quote;"Asɛnka"
quoted;""
quoting;""
radar map;""
radial;""
radio button;"redio taabo"
radio;"Akasanoma"
radix;""
raise;"maso"
raised position;""
random;"biarabiara"
range;"ɛhyeɛ"
rank;"di bea"
rate;"mprɛ dodoɔ"
rating;"gyina brɛ"
ratio;"Nkyekyɛmu"
raw data;""
raw memory;""
raw;"mono"
ray;""
reachable;""
read mail;""
read only;""
read-only;"tumi kanpɛ"
read/write;"kan/twerɛ"
read;"kan"
readable;"tumi kan"
reader;"ɔdekanfoɔ"
reading;"Ɛrekae"
readme;"Kenkan me"
readout;""
ready...;""
ready;"krado"
real memory;""
real name;"Din ankasa"
real path;""
real time;""
real;""
really;"nokware"
rearrange;"hyehyɛ"
reboot;"San sɔw"
recalculate hard;""
recalculate;"buw akonta bio"
receipt;"Adansedi"
receive;"gye"
received;"nsa kae"
receiver;"nkatiefo"
receiving;"Ɛretie"
recent documents;""
recent;"ndansa yi"
recently used;""
recently;"ɛnkyɛe"
receptivity;""
recipient;"resipiɛnt"
recognition;""
recognize;"Hyɛ nso"
recommend;"adansedi"
recommended;"dii adanse"
reconnect;"San twa tom"
record (verb);""
record;"akyerɛwsiede"
recorded;"Kyerɛwsiei"
recorder;"akyerɛwsiefidie"
recording;"Erekyerɛw esie"
recover;"Siesie"
recovery;"Esiesie"
recreate;"San bɔ"
rectangle;"rɛktangl"
rectangular;"rɛktangula"
recurrence;""
recurring;""
recursion;""
recursive symbolic link;""
recursive;""
recycle bin;"Bɔla"
red;"kɔkɔɔ"
redial;"san frɛ"
redirect;"Dan ani"
redirected;"danee ani"
redirecting;"rekyerɛ kwan"
redisplay;""
redo;"yɛ bio"
reduce;"Tew so"
reduced;"Teew so"
reduction;""
redundancy;""
redundant;""
reestablish;""
refer;"to ma"
reference point;""
reference;"hwehwɛbea"
referer;""
referral;""
referred;"hwehwɛɛe"
referring;"rekyerɛ kwan"
reflexive;""
refresh range;""
refresh;"yɛ bio"
refreshed;"yɔɔ bio"
refreshing;"reyɔ bio"
refuse;"ɛmpene"
refused;"ammpene"
refusing;"mpene"
regenerate;""
region;"Mpɔtam"
register;"twerɛ din"
registered;"twerɛɛ din"
registering;"retwerɛ din"
registration;"din twerɛ"
registry;"rɛgistry"
regression analysis;""
regular expression;""
regular;"tae yɔ"
regulate;""
rehearse timing;""
rehearse timings;""
reinstall;"san instɔl"
reject;"po"
rejected;"poeɛ"
related;"ɛsɛ"
relation;""
relationship;"nkitahodi"
relative url;""
relay;""
release note;""
release year;""
release;"Ngyae mu"
released;"Gyaae mu"
relevant;"ɛho hia"
relief;"mfonimasoɔ"
reload;"Bue bio"
reloaded;"Buee bio"
reloading;"Ɛresan ebue"
remain;"Ka"
remaining;"Nkaeɛ"
remark;"kasatia"
remember;"Kae"
remind me later;"Kae me ekyiri"
remind;"Kae"
reminder;"Nkaebɔ"
remote access;"akwanma remoot"
remote administration;""
remote control;"remoot kɔntrool"
remote desktop;""
remote;"Ntamteteɛ"
remotely;"Ntamtenten"
removable disk;""
removable drives and media;""
removable media;""
removable;"Yetumi yi"
remove from panel;""
remove;"Yi"
removed;"Yii"
rename;"san to din"
render;"Da mfoni edi"
rendering;"Mfoni edida"
renew;"yɛ foforɔ"
reopen;"San bue"
reorder;"san hyehyɛ"
reorderable;""
repaginate;"San hyehyɛ nkratafa"
repair;"Siesie"
repaired;"Siesieei"
repeat;"yɛ no bio"
repeating;"reyɛ bio"
replace all;""
replace;"Fahyɛ anan"
replaced;"ahyɛ anan"
replacement table;""
replacement;"Ananmuside"
replicate;""
replication;""
replies;""
reply to all;""
reply to list;""
reply to sender;""
reply-to;""
reply;"Mbuae"
report broken web site;""
report;"Amaneɛbɔnhomaa"
reporting;"nkyerɛwmanebɔ"
reports;""
reposition;"Dane"
repository;"Asie adaka"
request;"Mbisae"
requesting;"rebisa"
require;"hia"
required;"ehiade"
requirement;"ehiade"
research;"Yɛ nhwehwɛmu"
resend;"San soma kɔ"
reserved blocks;""
reserved;"Yi si nkyɛn"
reset and clear;""
reset view to defaults;""
reset;"san-hyɛ"
resident memory;""
resident;""
residual;""
resizable;""
resize;"San susu"
resolution;"enimanoɔden"
resolver;""
resource element;""
resource;"dwumadiboafo"
respond;"bua"
responding;"rebua"
response;"Mbuae"
restart evolution;""
restart;"San hyɛ ase"
restarted;"San hyɛɛ ase"
restarting;"Ɛrehyɛ ase"
restore default;"Siesie kɔ kane"
restore icon's original size;""
restore;"siesie"
restored;"Siesiei"
restrict;"Si ho kwan"
restricted;"Sii ho kwan"
restriction;"Akwansi"
result;"susuanso"
resultset;""
resume;"Toa so"
retain;"Kura"
retrieve;"Twe"
retry;"San yɛ bio"
return address;"Asomani adrɛs"
return key;"retɛɛn kee"
return receipt;""
return;"San w'akyi"
returned;"San bra"
retype;"bɔ bio"
reuse;"Fadi dwuma bio"
reveal;"Da edi"
reverse video;""
reverse;"Dan ani"
reversed;"Daa edi"
revert;"san"
review;"san-hwɛ"
revision;"Nsakrae"
revocation;""
revoke;""
rewind;"kyim kɔ akyiri"
rhombus;""
rhythmbox music player;""
rich text;"rikye tɛste"
rid;""
right arrow;"nifa akyerɛkwan"
right click;"kleke nifa"
right join;""
right margin;""
right mouse button;""
right now;"Sesei ara"
right to left;""
right-click on;""
right-to-left;"benkum-kɔ-nifa"
right;"benkum"
rights;"Mbra akwanya"
ring;"frɛ"
ringtone;"ringe tonu"
rip;"twe"
rise set;""
rise;""
rock;"rɔk"
role;"Dwumadie fa bi"
roll back;""
roll over;"fafaso"
roll up;""
roll;""
rollback;"sankɔ akyire"
room list;""
root directory;""
root menu;""
root password;""
root window;""
root;"fibea"
rotate;"dane dane"
rotated;"dane danee"
rotating;"retwan"
rotation angle;""
round bracket;""
round;"kurukuruwa"
rounded polygon;""
rounded rectangle;"rɛktangle kurukuruwa"
rounded;"kurukuruwa"
route;"kwan"
router;""
routine;""
routing;"kyerɛ kwan"
row break;""
row header;""
row heading;"roo ti asɛm"
row;"roo"
rpm package;""
ruby (phonetic guide);""
rule;"bra"
ruler;"rula"
run application;""
run level;""
run-time error;""
run-time;""
run;"him"
runaway;""
running;"ɛrehim"
runtime;""
safe mode;"ahotew mu"
safe;"ho-tew"
safety;""
salmon;""
salutation;""
salvage;""
sample;"ɛfatoho"
sampling;""
sans serif;"Sans sɛrif"
sans;""
saturation;"anoɔden"
saturday;"Memeneda"
save a copy;""
save all;""
save as;"Fa sie sɛ"
save file as;""
save file;""
save frame as;""
save image;""
save message;""
save page as;""
save screenshot;""
save search;""
save the current file;""
save;"Fa sie"
saved;"esie"
saving;"resie"
sc/xspread;""
scalable;"skelabl"
scalar;""
scale;"skel"
scaling factor;""
scam;"esisie"
scan;"skaane"
scanner tool;""
scanner;"skanfidie"
scanning;"Ɛreskaane"
scenario;"mfatoho"
scenarios;""
scene;"Bea"
schedule manager;""
schedule;"hyehyɛ"
schema;""
scheme;"Anim tebea"
scientific notation;""
scientific;""
scim input method setup;""
scope;""
score;"Nkunimdi mma"
scratch;""
screen resolution;""
screen saver;""
screen tips;""
screen;"skreen"
screensaver;"Animakyerɛde"
screenshot.png;""
screenshot;"kɔmputafidie mfoni"
screw;""
script;"skript"
scroll bar;"epia aba"
scroll horizontal;""
scroll wheel;"pia aba"
scroll;"pia kɔ"
scrollbars;""
scsi;""
sd/mmc;""
search domains;""
search engine;"ahwehwɛfidie"
search folders;""
search for files;""
search for text;""
search key;""
search results;"ahwehwɛfarebae"
search string;""
search term;"ahwehwɛsɛmfua"
search;"hwehwɛ"
searchable;"Yetumi hwehwɛ"
searched;"Hwehwɛɛ"
searches;""
searching;"Ɛrehwehwɛ"
sec. (second);""
second;"sɛkɛnd"
secondary colors;""
secondary;""
secret;"Esiewasɛm"
section;"ɔfa bi"
sector;"nkyɛwmu"
secure channel;""
secure keyboard;""
secure;"banbɔ"
security level and firewall;""
security warning;"Ehu amaneɛbɔ"
security;"Banbɔ"
seek;"hwehwɛ"
segment;"kyɛ"
segmentation fault;""
segmentation;""
select a disc;""
select a file;""
select a folder;""
select address book;""
select all messages;""
select all text;""
select all;"paw ne nyinara"
select an application;""
select an image;""
select date;""
select file;""
select folder;""
select message thread;""
select pattern;""
select range;""
select sound file;""
select text;""
select today;""
select;"paw"
selectable;"Tumi yiyi mu"
selected text;""
selected/unselected;""
selected;"Woapaw"
selecting;"Ɛrepaw"
selection bound;""
selection;"mpawee"
self-extracting;""
selinux context;""
selinux troubleshooter;""
semantic;""
semi;""
semibold;""
semicircle;""
semicolon;"kolɔnfa"
semiexpanded;""
semilight;""
send an email;""
send backward;""
send immediately;""
send later;""
send link;""
send message to contact;""
send now;""
send options;""
send to back;""
send unsent messages;""
send/receive;""
send;"Soma kɔ"
sender;"asomani"
sending message;""
sending;"Ɛresoma"
sense;""
sensitive;"atenkanoɔden"
sensitivity;"atenkanoɔden"
sensor;"atenkafade"
sent;"Ɛkɔ"
sentence;"kasamu"
separate;"kyɛ"
separator;""
september;"Ɔbɛsɛ"
sequence;"Nnidisoɔ"
sequential access;""
sequential;"nnidiso"
serial number;"mma nnidisoɔ"
serial;"nidisoɔ"
series;"sa so"
serif;"sɛrif"
serve;"som"
server farm;""
server name;"Somfoɔ no din"
server side;""
server;"Somfoɔ"
service;"som"
services;""
session management;""
session;"sɛssion"
sessions;""
set as;"Paw sɛ"
set character encoding;""
set language;""
set title;""
set up;"hyehyɛ"
set;"hyɛ"
setting;"nhyehyɛe"
settings;""
setup;""
severity;""
sha1 fingerprint;""
sha256;""
shade;""
shading;"adwini"
shadow;"sunsum"
shape;"bɔbea"
shaped text;""
share;"kyɛ"
shared file;""
shared memory;""
shared;"akyekyɛ"
shareware;"hyɛɛwɛɛ"
sharing;"Wɔrekyɛw"
sharp;""
sharpen;"Ɛnyɛ nam"
sharpness;"Anoɔnam"
shear;""
sheet from file;""
sheet;"Krataakoro"
shell;"hyɛll"
shift (key);""
shift / shift key;"hyift / hyift aba"
shift key;""
shift;""
short description;"Ɛhonsɛm tia"
short;"tiaa"
shortcut command;""
shortcut key;""
shortcut;"kwantia"
shorter;"mmrɛ tiawa"
show empty groups;""
show hidden files;""
show hidden messages;""
show hidden;""
show idle times;""
show information;""
show menubar;""
show offline buddies;""
show tabs;""
show text;""
show toolbar;""
show week numbers;""
show/hide slide;""
show;"kyerɛ"
shown;"kyerɛɛ"
shred;""
shrink to fit page width;""
shrink to fit;"Tew so na ɛnkɔ"
shrink;"Yɛ ketewaa"
shuffle mode;""
shuffle;"Hyehyɛ  mpofrim"
shut down;"Dum"
shut;"To mu"
shutdown;""
shutting down;"Adumadum"
shutting;"Ɛredum"
side bar;""
side pane;""
sidebar;"saedbaa"
sign in;"bra mu"
sign out;"firi mu"
sign up;"kyerɛw-din"
sign;"tim so"
signal;"atenka"
signature block;""
signature;"nsatim"
signed;"etim so"
signer;"Tumikyerɛni"
signing;""
silence;"Yɛ din"
similarity search;""
simple;"nyɛ den"
simplified;"wayɛ no merɛw"
simulated;"Simulaateɛ"
simulation;"Simulahyin"
simulator;""
simultaneous;"yɛbom"
single click;"Mia so baako"
single quote;"kot koro"
single-sided;"fa baako"
single;"akoro"
site manager;""
site;"saet"
size box;""
size limit;"kɛseɛ mpɛmpɛnso"
size;"kɛseɛ"
sizelimit;""
skew;""
skewness;""
skip all;""
skip;"tra"
skipped;"Traa"
skipping;"Ɛrehuri"
sky;""
skype;""
slant;""
slash;"ntwamutea"
slashed cross;""
slave field;""
slave;"akoa"
sleep;""
sleeping;""
slice;"Sensen"
slide (presentation);""
slide design;""
slide layout;""
slide pane;""
slide show settings;""
slide show;""
slide sorter;""
slide transition;""
slide;"slaed"
slider;"slaeda"
slideshow / slide show;"adekyerɛwhwɛ"
slideshow;""
slip;""
slogan;""
slot;"tokuro"
slovak;""
slovenian;""
slow terminals;""
slow;"brɛw"
slower;"bɔkɔɔ"
slowest;""
small capitals;""
smart card manager;""
smart terminal;""
smart;"ahoɔhare"
smile (smiley);""
smiley;"aserewde"
smooth end;""
smooth scroll;""
smooth start;""
smooth;"tromtrom"
smoothing;"Ɛretromtrom"
sms (short message);""
sms;"SMS"
smtp;""
snap;"Kyekyere"
snapshot;"mfoni"
snooze;""
socket number;""
socket;"sɔkɛt"
socks server;""
soft keys;""
soft;"mmrɛw"
soften;"Yɛ mmrɛw"
software bug;""
software foundation;""
software update;"sɔftwɛɛr esieisiei"
software updater;""
software;"sɔftwɛɛ"
solarization;""
solid color;"ahosunoɔden"
solid lines;""
solid model;""
solid;"kasee"
solution;"Mbuae"
solve;"bua"
solving;"Ɛrebua"
song;"nnwom"
sort buddies;""
sort by;"hyehyɛ sɛ"
sort criteria;"Nhyehyɛ agyinasode"
sort order;""
sort;"hyehyɛ"
sorted;"ahyehyɛ"
sorting;"Nhyehyɛe"
sound & video;""
sound card;""
sound juicer cd extractor;""
sound preferences;""
sound theme;""
sound;"aso-te"
soundcard detection;""
source code;"kɔmputa kasa"
source;"farebae"
south;"anaafo"
space (disk);""
space .;"kwan"
space bar;"Ntamkyɛdeɛ aba"
space character;""
space;"kwan"
spacing;"akwan"
spam;"Spam"
span;"Ka bom"
spanish;""
spawn;""
speaker;"akasamu"
special character;"akyerɛwde soronko"
special;"titiriw"
specific;"titiriw"
specification;"Adeɛ pɔtee"
specified;"pɔtee"
specify;"paw"
spectral;""
spectrum;"spɛktrum"
specular;""
speech;"kasa"
speed unit;""
speed;"mmirikantɛntɛm"
spell checker;""
spell checking;""
spell-checker;"aspɛɛlemuhwɛde"
spell-checking;"aspɛɛlemuhweheɛ"
spell;"spɛɛle"
spellcheck;"spɛlkyɛk"
spelling and grammar;"spɛllen ne kasa mra"
spelling;"Spɛllen"
sphere;"Kurukuruwa"
spin box;""
spin button;""
spin;"twan"
spiral;""
splash page / splash screen;"splahye paage/splahye ahwehwɛniwa"
splash;""
split cell;""
split table;""
split;"kyɛw mu"
splitting;"wore kyɛmu"
sponsor;""
spool file;""
spool;""
spot;"bea"
spouse;""
spread sheet;""
spread;"bae mu"
spreadsheet;"sprɛd sheeti"
square bracket;"Sokwɛɛ brakɛte"
square root;"Sokwɛɛ rutu"
square;"Sokwɛɛ"
ssh;""
ssl client certificate;""
ssl server certificate;""
stability;"Faako gyina"
stabilize;""
stable;"pintin"
stack;"staake"
stage;"mpɛnpɛnsoɔ"
stagger even;""
stagger odd;""
stalk;""
stamp;"Tim so"
stand alone;""
stand-alone;"Anko nam"
stand;"gyinasode"
standalone;""
standard deviation;""
standard;"Tipɛnkorɔ"
standby;"gyina nkyɛn"
star;"nsoromba"
start angle;""
start date;"Ahyɛase afeda"
start menu;"Nhyɛasede"
start time;""
start with;"Hyɛ ase ne"
start;"hyɛ ase"
started;"Hyɛɛ ase"
starting page;""
startup files;""
startup program;""
startup time;""
startup;"Nhyɛasede"
state;""
statement;"kasamu"
static;"Ɛnsesa"
stationery;"Abatasɛm mfoni"
statistic;"nkonta"
statistics;""
status bar;"tebea baa"
status dock;""
status docklet;""
status;"tebea"
statusbar;""
step increment;""
step;"Anamɔn"
stereo;"stɛrio"
stereotype;""
stick;""
sticky notes;""
sticky;"Ɛtare"
stock chart;""
stock icon;""
stock ticker;""
stop;"Gyae"
stopped;"agyina"
stopping;"Ɛregyae"
storage device;"esiei efidie"
storage type;""
storage;"Siebea"
store;"Sie"
stored;"Siee"
straight;"tee"
strategies;""
strategy to use;""
strategy;""
stream;"Streeme"
streaming;"Ɛrestreeme"
street;"kwan"
strength;"ahoɔden"
stretch (wallpaper);""
stretch icon;""
stretch;"Tene"
strict;"kyenkyenee"
strike;"Twa mu"
strikethrough set;""
strikethrough;"nkyerɛwee ntwamu"
string;"ntoasoɔ"
strip;"tew so"
stripchart program;""
stroke;"ntwamu"
strong;"den"
structure diagram;""
structure;"Nyinasoɔ"
stub;""
style and formatting;""
style scheme;""
style;"stael"
styles and formatting;""
stylesheet;"Staele shete"
sub directory;""
sub folder;""
sub menu;""
subdirectory;"sɔbdaerɛtri"
subdivision;""
subfolder;""
subject line;"Ti asɛm afa"
subject;"ti-asɛm"
sublevel;""
submenu item;""
submenu;"mɛnuba"
submission;"Fama"
submit bug report;""
submit;"Fa mane"
submitted;"amaneɛ"
submitting;"guso fama"
subnet;""
subpoint;""
subroutine;""
subscribe to other user's folder;""
subscribe;"kyerɛw-din"
subscribed;"kyerɛɛw-din"
subscript;"sɔbskrite"
subscription;"akyerɛwdin"
subscriptions;""
subshell support;""
substitute;"si anan mu"
substring;""
subtitle;"Asɛmsekyerɛ"
subtotal;"Nkabɔmu"
subtotals;""
subtract;"Tew fri mu"
subtraction;"Ntewmu"
subtree;""
succeed;""
success;""
successful;"konim"
successfully;""
suffix;"sɔfise"
suggest;"kyerɛ adwen"
suggestion;"adwenkyerɛ"
suite;"siutu"
sum (noun);""
sum (verb);""
sum;"Nkontatoɔ ba"
summarize;"Twa tiaa"
summary slide;""
summary;"ntwatiaa"
sunday;"Kwesida"
super user;""
super;"kokroo"
superordinate;""
superscript;"nkyerwgyinawim"
supply;"Fa ma"
support;"Boa"
supported;"boae"
suppress;"Hyɛ so"
surface;"aniani"
surprise (smiley);""
surrounding;"mpɔtam"
suspend;"tow hyɛ  da"
suspicious;"Ɛyɛ hu"
swallowed application;""
swap memory;""
swap space;""
swap;"sesa"
swedish;""
switch level;""
switch off;"dum"
switch on;"sɔ"
switch user;""
switch;"swekye"
switcher appearance;""
switcher;"Swikya"
sylk file;""
symbol;"ahyɛnsode"
symbolic link;""
symmetric control;""
symmetric;"Symmɛtrike"
symmetry;""
sync / synchronize;"Synkronaes"
synchronization options;""
synchronization;"Synkronaesahyin"
synchronize;""
synchronized;"Synkronaeseɛ"
synonym;"Ɛsɛ"
syntax error;""
syntax highlighting;""
syntax;"syntase"
system administrator;"systɛm hwɛsofoɔ"
system configuration;""
system log;""
system monitor;""
system requirement;""
system settings;""
system tools;""
system unit;""
system;"systɛm"
tab (key);""
tab / tab key;"tab aba"
tab;"tab"
tabbed section;""
table boundaries;""
table cell;""
table of contents;"mu-nsɛm pono"
table properties;""
table;"pono"
tablet;""
tag;"abatasɛm"
tagged;"Abata"
take screenshot;""
talk;"kasa"
tall;""
tamil;""
tan;"tan"
tar archive;""
target file exists;""
target file;""
target;"tirimpɔ"
task group menu;""
task information;""
task list;""
task menu;""
task pane;""
task;"dwumadi-ba"
taskbar;"task baa"
tasklist button;""
tasklist;""
tasks;""
tclass;""
tcp/ip;""
technology;"tɛknɔlɔgyi"
telecommunication;"tɛlecommunicahyin"
telephone number;"kasahoma mma"
telephone;"kasahoma"
teletype;""
telnet;""
temp file;""
temperature unit;""
template;"Tɛmplate"
templates;""
tempo;"ntɛmso"
temporarily;"Nyɛ afebɔɔ"
temporary buffer;""
temporary files;""
temporary;"Nyɛ afebɔɔ"
ten;""
term variable;""
term;"ɛfene"
terminal server client;""
terminal;"tɛminale"
terminate;"Twa so"
terminated;"Agyae"
terminology;"ɛfene"
terms of agreement;"Apenesoɔ Ngyinasode"
test module;""
test;"Sɔ hwɛ"
testing;"nsɔhwɛ"
text area;""
text box;"tɛxt adaka"
text color;""
text column;""
text editor;"tɛxt edita"
text file;""
text flow;""
text limit;""
text only;""
text size;""
text;"nkyerɛwee"
textual name;""
texture;"tɛxkya"
the gimp;""
theme;"tiim"
themes;""
thesaurus;"Tɛsaurɔs"
thesis;""
thick;"Mu duro"
thickness;"Mu duro"
