3-d;"3-D"
kpa;""
label text;""
label widget;""
label;"ស្លាក"
lag;"រយៈពេល​ខុស​គ្នា"
lambda;""
lan (local area network);"បណ្ដាញ​មូលដ្ឋាន"
lan / local area network;""
landscape orientation;"ទិស​ផ្ដេក"
landscape paper;"ក្រដាស​ផ្ដេក"
landscape;""
language pack;"កញ្ចប់​ភាសា"
language settings;""
language support;""
language;""
lao;""
laptop;""
large print;""
larger;""
largest;""
laser;"ឡាស៊ែរ"
last modified;""
last name;"នាម​ត្រកូល"
last session;""
last visited;""
last;"ចុងក្រោយ"
latex;""
lathe object;"វត្ថុ​ក្រឡឹង"
latin;""
latvian;""
laughing (smiley);"សើច"
launch icon;""
launch;"បើក​ដំណើរការ (កម្មវិធី)"
launcher;""
layer;"ស្រទាប់"
layout style;""
layout;"ប្លង់"
ldap server;""
leap year;"ឆ្នាំ​បង្គ្រប់"
learn;""
leave fullscreen mode;""
leave fullscreen;""
leave;""
leaving;""
left arrow;""
left click;""
left join;"រួម​​​ឆ្វេង"
left margin;""
left mouse button;""
left to right;""
left-click on;""
left-to-right;""
left;""
legal;""
legend;"តាង"
length;"ប្រវែង"
lens;""
letter-like symbol;"និមិត្ត​សញ្ញា​ដូច​អក្សរ"
letter;"សំបុត្រ"
letterhead;"ក្បាល​លិខិត"
level;""
library;"បណ្ណាល័យ"
license agreement;""
license;"អាជ្ញាបណ្ណ"
licensed;""
light precipitation;""
light;"ស្រាល"
limit;"មើល Boundary"
limited;""
limits;""
line arguments;""
line begin (begin of line);"ដើម​បន្ទាត់"
line break;"ចុះ​បន្ទាត់"
line color;"ពណ៌​បន្ទាត់"
line joint;"សន្លាក់​បន្ទាត់"
line numbering;""
line skew;"ភាព​ឆៀង​របស់​បន្ទាត់"
line weight;"កម្រាស់​បន្ទាត់"
line wrap;""
line;"ជួរ"
linear transfer;""
linear;"លីនេអ៊ែរ"
link to external data;""
link;"ភ្ជាប់"
linked;""
links;""
linux;""
lips are sealed (smiley);"បិទ​បបូរ​មាត់"
list all;""
list box;"ប្រអប់​បញ្ជី"
list item;""
list of available;""
list view;""
list;"បញ្ជី"
listed;""
listen;""
listener;""
listing;""
literal;"តម្លៃ​ត្រង់"
lithuanian;""
live bookmark;"ចំណាំ​បន្ត​ផ្ទាល់"
live mode;"របៀប​បន្ត​ផ្ទាល់"
live;""
load images;""
load;"ផ្ទុក"
loaded;""
loading;""
local address books;""
local;"មូលដ្ឋាន"
locale;""
localization;""
locate;"រក​ទីតាំង"
located in;""
location;"ទីតាំង"
lock screen;""
lock the screen;""
lock to panel;""
lock;""
locked file;"ឯកសារ​​ជាប់​សោ"
locked;"ជាប់​សោ"
log file;"ឯកសារ​កំណត់ហេតុ"
log in / login;""
log in anyway;""
log in;"ចូល"
log off;"ចេញ"
log on;"មើល Log In"
log out root;""
log out;"មើល Log Off"
log;"ចុះ​កំណត់ហេតុ"
logged in;""
logged;""
logging in;""
logging;""
logical height;"កម្ពស់​សម"
logical number;"ចំនួន​តក្ក"
logical volume management;""
logical;"សម"
login screen;""
login window;""
login;""
logo;"ឡូហ្គោ"
logout;""
long description;""
look and feel;"រូបរាង និង មុខងារ"
look for;"ស្វែង​រក"
look in;"មើល​ក្នុង"
look up;"រក​មើល"
look;""
lookup;""
loop;"រង្វិល​ជុំ"
loose;"ធូរ"
lost connection;""
low;"ទាប"
lower-case;""
lower;"ទាប​ជាង"
lowercase;"អក្សរ​តូច"
lowered position;"ទីតាំង​ក្រោម​បន្តិច"
lowest;"ទាប​បំផុត"
m.sec. (millisecond);"មិ.វិ. (មិល្លីវិនាទី)"
m/s;""
machine language;"ភាសា​ម៉ាស៊ីន"
machine operator;"អ្នក​បញ្ជា​ម៉ាស៊ីន"
machine;"ម៉ាស៊ីន"
macro;"ម៉ាក្រូ"
macros;""
magenta;"ក្រហម​ស្វាយ"
magnetic tape;"កាសែតម៉ាញេទិច"
magnification;""
mail box;"ប្រអប់​សំបុត្រ"
mail client;""
mail merge (form letter);"សំបុត្រ​សំណុំ​បែបបទ"
mail merge wizard;""
mail server;"ម៉ាស៊ីន​បម្រើ​សំបុត្រ"
mail to;""
mail;"សំបុត្រ"
mailbox;""
mailer;""
mailing list;"បញ្ជី​សំបុត្រ​រួម"
main board;""
main body;""
main menu button;""
main menu;""
main title;"ចំណង​ជើង​មេ"
main toolbar;"របារ​ឧបករណ៍​មេ"
main;"សំខាន់"
mainboard;"បន្ទះ​មេ"
maintain;"ថែទាំ"
maintainer;"អ្នក​ថែទាំ"
maintenance;"តំហែ​ទាំ"
major gridline;"បន្ទាត់​រង្វើល"
major interval mark;"ក្រិត​ចន្លោះ​ធំ"
major interval;"ចន្លោះ​ធំ"
make links;""
male;""
malformed;""
malfunction;"ធ្វើការ​ខុស​ប្រក្រតី"
malware;""
man pages;""
manage bookmarks;""
manage custom sizes;""
manage;"គ្រប់គ្រង"
management information system;"ប្រព័ន្ធ​ព័ត៌មាន​គ្រប់គ្រង"
management;"ការ​គ្រប់គ្រង"
manager (program);"កម្មវិធី​គ្រប់គ្រង"
manager;""
mandatory;""
manipulate;""
manual break;"ការ​បំបែក​ដោយ​ដៃ"
manual page;""
manual;"សៀវភៅ​ដៃ"
manually;""
manufacturer;"ក្រុមហ៊ុន​ផលិត"
map;"ផ្គូផ្គង"
mapped;""
mapping;""
march;""
margin;"រឹម"
marginalia;"ចំណាំ​ក្នុង​រឹម"
margins;""
mark all message as read;""
mark as;""
mark;"សញ្ញា​សម្គាល់"
marked;""
markup;""
marquee;"ម៉ារគី"
mask;"របាំង"
master document;"ឯកសារ​មេ"
master field;"វាល​មេ"
master password;"ពាក្យ​សម្ងាត់​មេ"
master;"មេ"
match case;"ករណី​ដំណូច"
match;"ផ្គូផ្គង"
matched;""
matching;""
math;""
maximise;""
maximize;"ពង្រីក​អតិបរមា"
maximized;""
maximum length;""
maximum value;""
maximum width;""
maximum;"អតិបរមា"
may;""
md5 fingerprint;""
md5;""
mdi;""
mean;""
meaning;""
measure;""
measurement unit;"ឯកតា​រង្វាស់"
measurement;""
mechanism;""
media player;""
media type;""
media;"មេឌៀ"
median;""
medium;""
meeting information;""
meeting;""
megabyte;"មេកាបៃ"
member;""
membership;"សមាជិកភាព"
memo list;""
memo;"អនុស្សរណៈ"
memorandum;"មើល Memo"
memory;"សតិ"
menu bar;"របារ​ម៉ឺនុយ"
menu item;""
menu layout;""
menu panel;""
menu title;""
menu tree pane;""
menu;"ម៉ឺនុយ"
menubar;""
menus & toolbars;""
merge cell;""
merge table;""
merge;"បញ្ចូល​ចូល​គ្នា"
merged;""
merging;""
message body;""
message box;"ប្រអប់​សារ"
message contains;""
message filters;""
message source;""
message;"សារ"
messenger;""
meta;"មេតា"
metacity;""
metadata;""
metafile;""
metal;"លោហធាតុ"
meter;""
method;"វិធីសាស្ត្រ"
metric;""
metrics (metric system);"ប្រព័ន្ធ​ម៉ែត្រ"
microphone;""
middle mouse button;""
middle;"កណ្ដាល"
midi;"មីឌី"
migrate;""
migration;"ប្ដូរ​កន្លែង"
mile;"ម៉ាយល៍"
milligram;""
milligrams;"មិល្លីក្រាម"
millimeter;"មិល្លីម៉ែត្រ"
millisecond;""
milliseconds;""
mime type;""
mini icons;""
minimize;"បង្រួម​អប្បបរមា"
minimum;"អប្បបរមា"
minix;""
minor faults;""
minor gridline;"បន្ទាត់​ក្រឡាចត្រង្គ​ញឹក"
minor interval mark;"ក្រិត​ចន្លោះ​តូច"
minor interval;"ចន្លោះ​តូច"
minor;""
minus sign;"សញ្ញា​ដក"
minus;""
minute;"កំណត់ហេតុ​ប្រជុំ"
mirror;"ឆ្លុះ"
miscellaneous;""
mismatch;""
missing;""
misspell;"ប្រកប​ខុស"
misspelled;""
mist;""
mistake;""
mix;""
mixer device;""
mixer;""
mmhg;""
mobile phone;""
mobile;""
modal (value);""
modal;""
mode;"របៀប"
model;"ម៉ូដែល"
modem;"ម៉ូដឹម"
moderated;""
moderator;"អន្តរការី"
modification;"កំណែប្រែ"
modified;""
modifier;""
modify;"កែប្រែ"
module;"ម៉ូឌុល"
moment;""
monday;""
money-mouth (smiley);"មាត់​លុយ"
monitor (hardware);"ម៉ូនីទ័រ"
monitor program;"កម្មវិធី​ត្រួត​ពិនិត្យ"
monitor;"អ្នក​ត្រួត​ពិនិត្យ"
monitored;""
monitoring;""
mono;"ម៉ូណូ"
monochrome;""
month view;""
month;""
more preferences;""
more;"ច្រើន​ជាង"
morphing;"ការ​ប្លែង​រូបភាព"
mosaic;"មូសាអ៊ីក"
motion;"ចលនា"
mount;"ម៉ោន"
mounted;""
mouse cursor;""
mouse keys;""
mouse over;""
mouse pointer;"ព្រួញ​កណ្តុរ"
mouse preferences;""
mouse;"កណ្តុរ"
move all contact to;""
move contact to;""
move down;"ផ្លាស់ទី​ចុះ​ក្រោម"
move folder to...;""
move tab to the left;""
move tab to the right;""
move to folder;""
move to new window;""
move to trash;""
move up;"ផ្លាស់ទី​ឡើង​លើ"
move;"ផ្លាស់ទី"
moved;""
movement;"ចលនា"
movie and sound;""
movie;""
moving;""
mph;""
ms;""
msdos;""
msn;""
mtu;""
multi operation;"ប្រមាណវិធី​ច្រើន"
multi-select;""
multi-touch;""
multi-user system;"ប្រព័ន្ធ​ពហុ​អ្នក​ប្រើ"
multi;""
multimedia system selector;""
multimedia systems selector;""
multimedia;"ពហុ​ព័ត៌មាន"
multimeter;"ឧបករណ៍​ស្ទង់"
multiple operations;""
multiple recipients;""
multiple;"ច្រើន"
multiplication sign;"សញ្ញា​គុណ"
multiply;""
multiselection;"ពហុ​ជម្រើស"
multitasking;"ពហុ​ភារកិច្ច"
munger;"អ្នក​ផ្លាស់ប្ដូរ"
music player;""
music;""
mute sounds;""
mute;""
muted;""
n/a;""
name contains;""
name;"ឈ្មោះ"
named;""
names;""
namespace;""
narrow;""
nautilus;""
navigate;"រុករក"
navigation pane;""
navigation toolbar;"របារ​​រុករក"
navigation;"ការ​រុករក"
navigator (program);"កម្មវិធី​រុករក"
navigator;""
near;""
nearest;""
negation;"អវិជ្ជមាន​កម្ម"
negative binomial;""
negative;""
neighbor;""
nested table;"តារាង​ក្នុង"
netiquette;"អតិថិវិន័យ​បណ្ដាញ"
netmask;""
netscape;""
netstat;""
network administrator;""
network connection;""
network interface;""
network monitor;""
network places;""
network proxy;""
network server;""
network servers;""
network settings;""
network tools;""
network topology;"ក្បួន​ត​បណ្ដាញ"
network;"បណ្ដាញ"
new address book;""
new calendar;""
new contact list;""
new contact;""
new folder;""
new game;""
new instant message;""
new meeting;""
new memo list;""
new message;""
new panel;""
new profile;""
new release;"ការ​ចេញ​ផ្សាយ​ថ្មី"
new tab;""
new task list;""
new window;""
new;"ថ្មី"
news group;""
news server;"ម៉ាស៊ីន​បម្រើ​ព័ត៌មាន"
news site;""
news;""
newsfeed;""
newsgroup;"វេទិកា​ព័ត៌មាន"
newsletter;""
next document;""
next tab;""
next;"បន្ទាប់"
nick name;""
nickname;"សម្មតិនាម"
no description;""
no effect;""
no error message;""
no error;""
no hint available;""
no name;""
no results;""
no summary;""
no-daemon;""
no;""
node;"ថ្នាំង"
noise;"ជ្រៀតជ្រែក"
non-breaking hyphen;"សហ​សញ្ញា​មិន​បំបែក"
non-breaking space;"គម្លាត​មិន​បំបែក"
non-convertible;"ដែល​មិន​អាច​បម្លែង"
non-printing character;"តួអក្សរ​មិន​បោះពុម្ព"
none;""
nonprinting characters;""
normal distribution;""
normal size;""
normal;"ធម្មតា"
north;""
not a directory;""
not a regular file;""
not available;""
not changed;""
not configured;""
not connected;""
not correct;""
not created;""
not defined;""
not displayed;""
not enabled;""
not encrypted;""
not enough memory;"គ្មាន​សតិ​គ្រប់គ្រាន់"
not enough space;""
not found;"មិន​ឃើញ"
not installed;""
not loaded;""
not logged in;""
not ready;""
not recognized;""
not sent;""
not set;""
not shown;""
not started;""
not supported;""
not valid;""
not visible;""
not;""
notation;""
note indicator;"ទ្រនិច​បង្ហាញ​ចំណាំ"
note;"ចំណាំ"
notebook;""
notes page;""
notice;"សម្គាល់"
notification area;""
notification;"ការ​ជូន​ដំណឹង"
notify;"ជូន​ដំណឹង"
november;""
null;"គ្មាន​សោះ"
num lock;""
number converter;""
number format;""
number of channels;""
number of rows;""
number of;""
number pad;"បន្ទះ​លេខ"
number theory;""
number;""
numbered list;""
numbered;""
numbering;"លេខរៀង"
numeral;"តួលេខ"
numerator;"ភាគ​យក"
numeric;""
numerical;"ជា​លេខ"
object (goal);"គោល​បំណង"
object (subject);"កម្មវត្ថុ"
object (thing);"វត្ថុ"
object code;""
object;""
oblique;"បញ្ឆៀង"
obscure;"ធ្វើ​ឲ្យ​ស្មុគ្រស្មាញ"
observations;""
obsolete;""
occur;"កើតឡើង"
occurence;""
occurred;""
occurrence;""
octal number;"ចំនួន​គោល​ប្រាំបី"
octet;""
october;""
odd number;"លេខ​សេស"
odd;""
off;""
office;""
offline;"ក្រៅ​បណ្ដាញ"
offset;"អុហ្វសិត"
ok;"យល់ព្រម"
on screen keyboard;"ក្ដារ​ចុច​លើ​អេក្រង់"
on this computer;""
on;"លើ"
ongoing;""
online help;"ជំនួយ​លើ​​បណ្ដាញ"
online shopping;"ទិញ​តាម​បណ្ដាញ"
online;"លើ​បណ្ដាញ"
opacity;"ភាព​ស្រអាប់"
opaque;"ស្រអាប់"
open a file;""
open a new window;""
open existing presentation;""
open file;""
open files;""
open folder;""
open in new window;""
open in terminal;""
open location;""
open parent;""
open source;""
open tab;""
open terminal;""
open windows menu;""
open with;""
open;"បើក"
opened;""
opengl;""
opening;""
operand;"អង្គ"
operate;""
operating system;"ប្រព័ន្ធ​ប្រតិបត្តិការ"
operating;""
operation (math);"ប្រមាណវិធី"
operation cancelled;""
operation;"ប្រតិបត្តិការ"
operator;"(១) ការី  (២) សញ្ញា​ប្រមាណវិធី"
opposite;""
optimal wrap;"រុំ​ប្រសើរ​បំផុត"
optimal;"ប្រសើរ​បំផុត"
optimize;"បង្កើន​ប្រសិទ្ធិភាព"
optimized;""
option;"ជម្រើស"
optional;"ស្រេច​ចិត្ត"
options;""
or;""
orange;""
orca screen reader;""
order;"បញ្ជា"
ordinal number;"លេខ​លំដាប់"
organization;"អង្គការ"
organize;""
organized;""
organizer;"អ្នក​រៀបចំ"
orientation;"ទិស"
origin;""
original;"ដើម"
orphan;"បន្ទាត់​កំព្រា"
orthflow;""
out of memory;""
out of range;""
out;""
outbox;"ប្រអប់​ចេញ"
outdated;"ហួស​សម័យ"
outer join;"រួម​ខាង​ក្រៅ"
outer;"ខាង​ក្រៅ"
outgoing server;"ម៉ាស៊ីន​បម្រើ​ចេញ"
outgoing;"ចេញ"
outline (font effect);"គែម"
outline numbering;""
outline;"គ្រោង"
output;"ទិន្នផល"
outward;"ទៅ​ក្រៅ"
oval;""
overflow;"លើស​​ចំណុះ"
overhang;"លយ​ចេញ"
overhead sheet;"ក្រដាស​ស្លាយ"
overlap;"តម្រួត"
override;"បដិសេធ"
overview;"ទិដ្ឋភាព​ទូទៅ"
overwhelming;"លើសលុប"
overwrite;"សរសេរ​ជាន់​លើ"
owner;"ម្ចាស់​កម្មសិទ្ធិ"
pack;"ខ្ចប់"
package manager;""
package;"កញ្ចប់"
packet;"កញ្ចប់​​ព័ត៌មាន"
padding;"ចន្លោះ"
page break preview;""
page break;"ការ​បំបែក​ទំព័រ"
page composer;"កម្មវិធី​រៀបចំ​ទំព័រ"
page count;"ចំនួន​ទំព័រ"
page down;"ទំព័រ​ក្រោម"
page info;""
page layout;"ប្លង់​​ទំព័រ"
page number;"លេខ​ទំព័រ"
page orientation;""
page preview;"មើល​ទំព័រ​ជា​មុន"
page setup;"ការ​រៀបចំ​ទំព័រ"
page size;""
page source;""
page style;""
page up;"ទំព័រ​លើ"
page;"ទំព័រ"
pager;""
pages per sheet;""
paginate;"បង់​លេខ​ទំព័រ"
paint can;"កំប៉ុង​ទឹកថ្នាំ"
paint;"គូរ"
paintbrush;"ជក់"
pair;"គូ"
palette entry;""
palette;""
palmos devices;""
pane;"ស្លាប​ព្រិល"
panel menu;""
panel;"បន្ទះ"
panelize;""
paper size;""
paper;""
paragraph break;"ចុះ​បន្ទាត់​កថាខណ្ឌ"
paragraph spacing​;"គម្លាត​កថាខណ្ឌ"
paragraph style;""
paragraph;"កថាខណ្ឌ"
parallel;"ប៉ារ៉ាឡែល"
parameter;"ប៉ារ៉ាម៉ែត្រ"
parcel;"កញ្ចប់​ប្រៃសណីយ៍"
parent;"មេ"
parentheses;"វង់​ក្រចក"
parity;""
parse;"ញែក"
parser;""
parsing;""
partial;""
participant;""
partition;""
pass count;"ចំនួន​ហុច"
pass;"ហុច"
passage;"វគ្គ"
passphrase;"ឃ្លា​សម្ងាត់"
password quality meter;"ឧបករណ៍​​វាស់​​​គុណភាព​​​ពាក្យ​​​សម្ងាត់"
password required;""
password;"ពាក្យ​សម្ងាត់"
paste special;"បិទ​ភ្ជាប់​ពិសេស"
paste the clipboard;""
paste;"បិទ​ភ្ជាប់"
patch (noun);""
patch (verb);""
patch;"បំណះ"
path;"ផ្លូវ"
pathname;""
pathnames;"ឈ្មោះ​ផ្លូវ"
pattern;"លំនាំ"
pause;"ផ្អាក"
paused;""
pdf / portable document format;""
pdf;""
peak indicator;""
peak;"កំពូល"
pearson correlation;""
peer;""
pend;"រង់ចាំ​ដោះស្រាយ"
pending signals;""
pending;"មិន​ទាន់​សម្រេច"
people;""
per;""
percent;""
percentage;""
perform;""
performance;""
performed;""
performing;""
period;""
periodic;""
peripheral;"គ្រឿង​កុំព្យូទ័រ"
perl script;""
perl;""
permanent;""
permanently;""
permission;"សេចក្ដី​អនុញ្ញាត"
permissions;""
permit;""
permitted;""
permutation;"ចំលាស់"
personal address book;"សៀវភៅ​អាសយដ្ឋាន​ផ្ទាល់​ខ្លួន"
personal file sharing;""
personal information;""
personal profile;"ទម្រង់​ផ្ទាល់​ខ្លួន"
personal toolbar folder;""
personal;"ផ្ទាល់​ខ្លួន"
personalization;"បដិរូបកម្ម"
personalize;"តម្រូវ​តាម​បុគ្គល"
perspective;"យថាទស្សន៍"
phishing;""
phone list;""
phone;""
phonetic;"នៃ​សូរសព្ទ"
photo;""
photosensitivity;"ភាព​ប្រែប្រួល​រូបភាព"
phrase;""
physical memory;""
physical;""
pick a color;""
pick;""
picker button;""
picker settings;""
picker;""
picture box;"ប្រអប់​រូបភាព"
picture;""
pid;""
pie;"ចំណិត"
piece;""
pilot device;""
ping;""
pink;""
pipe;"បំពង់"
pirate;"លួច"
pitch;"ជម្រេ"
pix map;"ផែនទី​ចំណុច"
pixbuf;""
pixel;"ភីកសែល"
pixels above lines;""
pixels below lines;""
pixels inside wrap;""
pixmap;""
place;"ទីកន្លែង"
placeholder;"កន្លែង​ដាក់"
placement;""
places;""
plain text;"អត្ថបទ​ធម្មតា"
plain;"ធម្មតា"
plane;""
platform;""
play (cd);"ចាក់ (ស៊ីឌី)"
play a sound;"បន្លឺ​សម្លេង"
play sound;""
play;""
playback;"ចាក់​សា​ថ្មី"
player;""
playing;""
playlist;""
please enter your user name;""
please wait;""
please;""
plot (verb);""
plot;"គ្រោង"
plotter;"ឧបករណ៍​គូស​ក្រាហ្វិក"
plug and play;"ការ​ប្រមូល​ផ្ដុំ​ផ្នែក​រឹង​ស្វ័យប្រវត្តិ"
plug in;"កម្មវិធី​ជំនួយ"
plug-in;""
plugin;""
plus sign;"សញ្ញា​បូក"
point to;""
point;""
pointer;""
points;""
poisson distribution;""
poker;""
policy;""
polish;""
polygon;"ពហុកោណ"
polyline;""
pool;"អាង"
pooled variance;""
pop art;"សិល្បៈ​​ពេញ​និយម"
pop up;"លេចឡើង"
pop-up menu;""
pop-up;""
popular;""
popup menu;"ម៉ឺនុយ​លេចឡើង"
popup window;"បង្អួច​លេចឡើង"
port;"ច្រក"
portable;"ចល័ត"
portal;"ខ្លោង​ទ្វារ"
portion;""
portrait orientation;"ទិស​បញ្ឈរ"
portrait paper;"ក្រដាស​បញ្ឈរ"
portrait;""
position and size;""
position;"ឋានៈ"
positioned;""
positive;""
possible;"អាច​ធ្វើ​បាន"
post a reply;""
post new message to folder;""
post office;""
post processor;""
post;"ប្រកាស"
postal box;""
postal code;"លេខ​ប្រៃសណីយ៍"
poster;"ប័ណ្ណ​ប្រកាស"
posterize;"រូបភាព​ប័ណ្ណ​ប្រកាស"
posting;""
postmaster;"អ្នក​គ្រប់គ្រង​ប្រៃសណីយ៍"
postscript;""
posture;"សណ្ឋាន"
power management;""
power manager;""
power;"ស្វ័យ​គុណ"
ppp;""
preceding;""
predefined;""
prediction;""
prefer;"ចូលចិត្ត"
preference;"ចំណង់​ចំណូល​ចិត្ត"
preferences;""
preferred applications;""
preferred height;""
preferred width;""
preferred;"ដែល​ចូលចិត្ត​ជាង"
prefix;"បុព្វបទ"
preformat;"ទ្រង់ទ្រាយ​ជា​មុន"
preformatted text;"អត្ថបទ​បាន​ធ្វើ​ទ្រង់ទ្រាយ​ជា​មុន"
prepare;"រៀបចំ"
prerequisite;"តម្រូវការ​ជា​មុន"
presentation wizard;""
presentation;"ការ​បង្ហាញ"
preset;"កំណត់​ជា​មុន"
presiding;"ក្រោម​អធិបតីភាព"
press;"សង្កត់"
pressed in;""
pressed;""
pressure;""
prevent;"រារាំង"
preview;"មើល​ជា​មុន"
previous document;""
previous tab;""
previous;"មុន"
price;""
primary colors;""
primary key;"កូនសោ​សំខាន់"
primary;"ចម្បង"
principal;"គោលការណ៍"
print area;""
print document;""
print job;""
print layout;""
print optimized;"បោះពុម្ព​គុណភាព​ខ្ពស់"
print page view;"បោះពុម្ព​ទិដ្ឋភាព​ទំព័រ"
print preview;"មើល​មុន​បោះពុម្ព"
print range;"ជួរ​បោះពុម្ព"
print ranges;""
print;"បោះពុម្ព"
printable;""
printed;""
printer settings;""
printer-friendly;""
printer;"ម៉ាស៊ីន​បោះពុម្ព"
printing;""
printout;"លទ្ធផល​បោះពុម្ព"
priority;"អាទិភាព"
privacy;"ភាព​ឯកជន"
private key;"កូនសោ​ឯកជន"
private messages;""
private;""
priviledge;""
privilege;"សិទ្ធិ"
privileges;""
probe;"ស្ទង់រក"
problem;""
procedure;"បែបបទ"
proceed;"ធ្វើ​បន្ត"
process id;""
process;"ដំណើរការ"
processing;""
processor;""
prodigy;""
product;""
profession;""
profile manager;"កម្មវិធី​គ្រប់គ្រង​ទម្រង់"
profile;"ទម្រង់"
profiles;""
program manager;""
program;"កម្មវិធី"
programmer;"អ្នក​សរសេរ​កម្មវិធី"
programming;""
progress bar;"របារ​វឌ្ឍនភាព"
progress;"វឌ្ឍនភាព"
project management;""
project;"គម្រោង"
projection;"ការ​បញ្ចាំង"
projector;""
promote;"បង្កើន"
prompt;"ប្រអប់​បញ្ចូល"
propagation;""
properties;""
property;"លក្ខណៈ​សម្បត្តិ"
proportional font;""
proportional;""
proposal;"សំណើ"
proprietary;""
protect cell;""
protect document;""
protect;"ការពារ"
protected workbooks;""
protected;"ដែល​ត្រូវ​បាន​ការពារ"
protection;"ការ​ការពារ"
protector;"អ្នក​ការពារ"
protocol error;""
protocol;"ពិធីការ"
provide;""
provider;"អ្នក​ផ្គត់ផ្គង់"
provision;""
proxy configuration;""
proxy server;""
proxy settings;""
proxy;"ប្រូកស៊ី"
public domain software;""
public ftp;""
public key;""
public-key;"កូនសោ​សាធារណៈ"
public;"សាធារណៈ"
publish calender information;""
publish;"បោះពុម្ព​ផ្សាយ"
publisher;"អ្នក​បោះពុម្ព​ផ្សាយ"
pull;"ទាញ"
punctuation;"ការ​ដាក់​វណ្ណយុត្ត"
purchase;""
purchasing form;"ពាក្យ​សុំ​ទិញ"
purge;"លុប​បំបាត់"
purple;""
push;"រុញ"
put;"ដាក់"
quadratic;"បួន​ជ្រុង"
qualified;"ដែល​មាន​គុណភាព"
quality;"គុណភាព"
quantity;"បរិមាណ"
quarantine;"ដាក់​ឲ្យ​នៅ​ដាច់​ពី​គេ"
quarter;""
quartile;"ភាគបួន"
queen;""
query;"សំណួរ"
question;""
queue;"ដាក់​ជា​ជួរ"
queued;""
quick launch bar;"របារ​ចាប់ផ្ដើម​រហ័ស"
quick launcher;"ឧបករណ៍​ចាប់ផ្ដើម​រហ័ស"
quick reference;""
quick;""
quit;"បោះបង់"
quitting;""
quota;"កូតា"
quotation mark;""
quotation;"មើល Quote"
quote;"ដកស្រង់"
quoted;""
quoting;""
radar map;""
radial;"មូល"
radio button;"ប៊ូតុង​មូល"
radio;""
radix;"គោល"
raise;"លើក​ឡើង​លើ"
raised position;"ទីតាំង​លើ​បន្តិច"
random;"ចៃដន្យ"
range;"ជួរ"
rank;""
rate;"អត្រា"
rating;""
ratio;""
raw data;""
raw memory;""
raw;"ឆៅ"
ray;""
reachable;""
read mail;""
read only;""
read-only;"បាន​តែ​អាន"
read/write;""
read;"អាន"
readable;""
reader;""
reading;""
readme;"អាន​ខ្ញុំ"
readout;""
ready...;""
ready;"រួច​ហើយ"
real memory;""
real name;""
real path;""
real time;""
real;"ពិត"
really;""
rearrange;""
reboot;"ចាប់ផ្ដើម​ឡើង​វិញ"
recalculate hard;"ខំ​គណនា​ឡើង​វិញ"
recalculate;""
receipt;"បង្កាន់​ដៃ"
receive;"ទទួល"
received;""
receiver;""
receiving;""
recent documents;""
recent;""
recently used;""
recently;""
receptivity;""
recipient;"អ្នក​ទទួល"
recognition;""
recognize;"ទទួល​ស្គាល់"
recommend;"ផ្ដល់​អនុសាសន៍"
recommended;""
reconnect;"តភ្ជាប់​ឡើង​វិញ"
record (verb);""
record;"កំណត់ត្រា"
recorded;""
recorder;""
recording;""
recover;"យក​បាន​វិញ"
recovery;"ការ​សង្គ្រោះ​ឯកសារ"
recreate;"បង្កើត​ឡើង​វិញ"
rectangle;""
rectangular;""
recurrence;""
recurring;""
recursion;"ការ​ហៅ​ខ្លួន​ឯង"
recursive symbolic link;""
recursive;""
recycle bin;"ធុង​សំរាម"
red;""
redial;"ហៅ​ឡើង​វិញ (ទូរស័ព្ទ)"
redirect;"ប្ដូរ​ទិស"
redirected;""
redirecting;""
redisplay;""
redo;"ធ្វើ​វិញ"
reduce;"កាត់​បន្ថយ"
reduced;""
reduction;""
redundancy;"ភាព​ស្ទួន"
redundant;""
reestablish;"បង្កើត​ឡើង​វិញ"
refer;""
reference point;"ចំណុច​យោង"
reference;"សេចក្ដី​យោង"
referer;""
referral;"ការ​ផ្ទេរ"
referred;""
referring;""
reflexive;""
refresh range;""
refresh;"ធ្វើ​ឲ្យ​ស្រស់"
refreshed;""
refreshing;""
refuse;"បដិសេធ"
refused;""
refusing;""
regenerate;"បង្កើត​ឡើង​វិញ"
region;""
register;"ចុះ​ឈ្មោះ"
registered;""
registering;""
registration;"ការ​ចុះ​ឈ្មោះ"
registry;"បញ្ជី​ឈ្មោះ"
regression analysis;""
regular expression;""
regular;"ធម្មតា"
regulate;""
rehearse timing;"ពេលវេលា​​សម"
rehearse timings;""
reinstall;"ដំឡើង​ឡើង​វិញ"
reject;"ច្រាន​ចោល"
rejected;""
related;""
relation;"ទំនាក់​ទំនង"
relationship;""
relative url;"URL ទំនាក់ទំនង"
relay;"បញ្ជូន​ត"
release note;"កំណត់​ចំណាំ​ការ​ចេញផ្សាយ"
release year;"ឆ្នាំ​ចេញ​ផ្សាយ"
release;"បញ្ចេញ"
released;""
relevant;""
relief;"ក្បាច់"
reload;"ផ្ទុក​ឡើង​វិញ"
reloaded;""
reloading;""
remain;""
remaining;"នៅ​សល់"
remark;"កំណត់​សម្គាល់"
remember;""
remind me later;""
remind;"រំលឹក"
reminder;"អ្នក​រំលឹក"
remote access;"ការ​ចូល​ដំណើរការ​ពី​ចម្ងាយ"
